date,geography,geography code,tenure_of_household_owned_owns_outright,tenure_of_household_owned_owns_with_a_mortgage_or_loan,home_ownership_stability,home_ownership_stability_lower_2_5,home_ownership_stability_upper_97_5,tenure_of_household_private_rented_private_landlord_or_letting_agency,tenure_of_household_lives_rent_free,tenure_of_household_shared_ownership,rental_insecurity_score,rental_insecurity_score_lower_2_5,rental_insecurity_score_upper_97_5
2021,West Lindsey,E07000142,17553,12206,-0.09726979490274949,-1.6134806044267147,1.4890009316402322,6431,20,391,-0.36661485836507346,-1.7896434746275858,1.030801340272775
2011,West Lindsey,E07000142,216,13187,-0.33828684861984415,-1.8730690623373354,1.27972912680808,4594,107,336,-0.345169575162926,-1.7654287140346894,1.0363841888495264
2021,Breckland,E07000143,24126,16335,0.026002707793969522,-1.5004281881316897,1.6347718999556125,9186,27,433,-0.2886385335476925,-1.700261455372937,1.1885239556709262
2011,Breckland,E07000143,297,17260,-0.2531351312553016,-1.7648061819918177,1.3143386650595041,7306,145,546,-0.15758604119677413,-1.5545914192161134,1.2257955314018956
2011,Broadland,E07000144,117,19263,-0.2301902294994753,-1.796619438103448,1.2996672917735026,4860,76,466,-0.33675372133005665,-1.727921196171247,0.9824303993632321
2021,Broadland,E07000144,26448,18088,0.12969541458683262,-1.507602623615455,1.7136169748957766,5951,12,498,-0.36344078500553234,-1.8285161309418505,1.0117460519180856
2011,Great Yarmouth,E07000145,117,12049,-0.3416625338621956,-1.9520155095142955,1.2294598975786244,6280,102,427,-0.283085779091296,-1.707216088415303,1.1324065688007316
2021,Great Yarmouth,E07000145,16978,10538,-0.18668923269227536,-1.7542632327447698,1.373922763413645,8504,107,133,-0.3469029107265888,-1.7133980090612408,1.1005849494430107
2011,King's Lynn and West Norfolk,E07000146,535,18799,-0.23885047570393023,-1.8474044243652643,1.3451130781950227,7832,330,581,0.07770411581911171,-1.315105148688134,1.420014476510605
2021,King's Lynn and West Norfolk,E07000146,28053,17150,0.09332379405255273,-1.5327510397745137,1.6690495058304196,10482,54,323,-0.2675218471952304,-1.7053340854466863,1.0884595455770594
2011,North Norfolk,E07000147,151,11210,-0.40224520426286065,-1.979005600105387,1.146924345519066,5997,83,433,-0.2913694380594839,-1.6861051708847998,1.163756667493449
2021,North Norfolk,E07000147,23509,9701,-0.10448304932379811,-1.6314604417433856,1.471994247012677,7170,18,333,-0.4099916725973083,-1.7938222605525669,1.090049923206188
2021,Norwich,E07000148,14312,12793,-0.158779431928209,-1.772383868935264,1.3745538832096893,15986,116,367,-0.08739087973293316,-1.5025805816927196,1.3199546533547044
2011,Norwich,E07000148,69,13979,-0.35899534543074346,-1.9061955253154672,1.1553319526569414,12122,114,784,0.014362324294311066,-1.3910886709925028,1.4461054347580071
2021,South Norfolk,E07000149,25720,19175,0.1490489546997281,-1.4637036746348295,1.7199244635939546,7213,19,756,-0.2119360027945342,-1.5902478872453962,1.2059212530949908
2011,South Norfolk,E07000149,106,17992,-0.251041329572691,-1.87719912743198,1.3664943366443272,5278,64,468,-0.31527175445429273,-1.7553083334797162,1.2070295086921383
2011,Corby,E07000150,17,9752,-0.3760021097970881,-1.9622419992379858,1.151073135074313,3582,30,210,-0.46206730978914456,-1.8974293317840956,0.9322366282827468
2021,Corby,E07000150,47617,49245,0.8524889708518122,-0.6829190979048555,2.4670367189008355,24645,170,1760,0.6283129420169878,-0.739355806154648,2.040815830595157
2011,Daventry,E07000151,63,12155,-0.35816980268880644,-1.9470093265699653,1.2124627510277135,3471,55,243,-0.465553095703625,-1.8723360788721728,0.9756353247737206
2021,Daventry,E07000151,53782,58173,1.0043555343335373,-0.5336744433225351,2.525820880114261,29463,226,2647,0.9954643706001841,-0.3472977163277495,2.424850920136842
2011,East Northamptonshire,E07000152,96,14418,-0.2937265777405253,-1.8181331937368697,1.2276106526628359,4032,39,304,-0.45543110977105694,-1.8589284939967357,0.917228950080547
2021,East Northamptonshire,E07000152,47617,49245,0.8675605951244599,-0.711705139274135,2.3715921139452054,24645,170,1760,0.65016168035771,-0.7404319534903723,2.065484197595497
2021,Kettering,E07000153,47617,49245,0.896077291950322,-0.7046407279518772,2.4695783446006376,24645,170,1760,0.623962381846648,-0.7825604807726626,2.0185337692689966
2011,Kettering,E07000153,53,15492,-0.2915234344687016,-1.8757609621830278,1.3842539798018663,5533,44,418,-0.38796412939427477,-1.8523348579810273,1.038458241335251
2011,Northampton,E07000154,72,33315,0.027789618259178778,-1.4525843104838976,1.6338517264549168,14657,137,951,0.12255839973211226,-1.2515096534912673,1.5447673884080102
2021,Northampton,E07000154,53782,58173,0.9771850404086887,-0.5700252540410004,2.5520760260205844,29463,226,2647,0.9895911539336453,-0.41410915576683366,2.4301558656657893
2011,South Northamptonshire,E07000155,84,14456,-0.3227252713615827,-1.907189132828042,1.2214483936383933,3439,71,246,-0.43592898690996434,-1.8621565644270415,1.0199585089500371
2021,South Northamptonshire,E07000155,53782,58173,1.0125696270117268,-0.571385056682398,2.6040402555830338,29463,226,2647,1.0040366470691566,-0.3343977830189284,2.3723333799639983
2011,Wellingborough,E07000156,37,11702,-0.3828058840182255,-1.9955530686740743,1.2115768682508012,3965,58,300,-0.41434029610276657,-1.8109182024002852,0.9656623871418003
2021,Wellingborough,E07000156,47617,49245,0.8087393102933612,-0.7971562188629456,2.413838184299376,24645,170,1760,0.6242507749423095,-0.7750798040327608,2.035666694212318
2021,Craven,E07000163,11826,6837,-0.28958519553368406,-1.9279730236627954,1.2831680644180044,3963,10,184,-0.5020802460771493,-1.9588366407911966,0.911608484057709
2011,Craven,E07000163,89,7577,-0.423240726288887,-2.009009681735838,1.0762336364607272,3360,72,261,-0.45029124483136784,-1.8234144399062415,0.9761162044326882
2021,Hambleton,E07000164,17772,10373,-0.15405930864807021,-1.6737356300362212,1.4801872066231612,5245,6,355,-0.4685453820279381,-1.8407230738953948,0.9331453593330142
2011,Hambleton,E07000164,546,11373,-0.37315447833588333,-2.0091983853567283,1.2586916681737348,4622,262,340,-0.12292385635601358,-1.5407756404274198,1.2796572365649015
2021,Harrogate,E07000165,28936,20971,0.21681327011380047,-1.3750118012995198,1.7519577299871212,11484,71,647,-0.13345249381841034,-1.6125884812606763,1.3382416916425537
2011,Harrogate,E07000165,438,22620,-0.15501365209233395,-1.6715913713177708,1.3482108793529552,10394,301,638,0.10249406058306625,-1.3364543701832525,1.4547226865465386
2021,Richmondshire,E07000166,8518,4974,-0.3719151112695811,-1.911410470667707,1.2565258881359493,3142,28,119,-0.5760084422787994,-1.9607834855378288,0.8437202919418988
2011,Richmondshire,E07000166,810,5615,-0.4561787241739428,-1.9730162131857722,1.0328073172222576,2877,592,240,0.15955118767415088,-1.2089282959801628,1.552841757576486
2011,Ryedale,E07000167,163,5795,-0.4313376587781258,-1.9846373615276656,1.0943852053892231,3321,73,216,-0.43368772952102824,-1.871546397277262,0.9922278994091851
2021,Ryedale,E07000167,10820,5686,-0.30659628860828697,-1.93968037490884,1.3058897651700851,3958,7,190,-0.5225969160356307,-1.9281263901271068,0.8264431986701106
2011,Scarborough,E07000168,108,13197,-0.35714829571715145,-1.879731535071327,1.1774187671913139,8812,161,559,-0.10509218823126767,-1.5268272015786228,1.3460957471404367
2021,Scarborough,E07000168,21164,11308,-0.05293024213698882,-1.6719423159131543,1.5053447710185155,9748,17,484,-0.2976585443375597,-1.6916365280530319,1.1493842388719924
2011,Selby,E07000169,78,13982,-0.3513984430079104,-1.9609447516276333,1.2430347583565353,3400,49,269,-0.4443391751002185,-1.89867096089278,1.0185758014053345
2021,Selby,E07000169,14590,14325,-0.13375569572327523,-1.7362575914924965,1.427360378276687,4571,39,447,-0.37494292944502056,-1.77550620841015,0.9769250742772927
