geography,geography code,home_ownership_stability_2011,home_ownership_stability_2021,rental_insecurity_score_2011,rental_insecurity_score_2021
Breckland,E07000143,-0.2531351312553016,0.026002707793969522,-0.15758604119677413,-0.2886385335476925
Brent,E09000005,-0.15991792859896903,0.1064708378846811,0.7471998289838143,0.999563376840414
Brentwood,E07000068,-0.4018566829645528,-0.2230236386257956,-0.4584054286558763,-0.4165425805012505
Bridgend,W06000013,-0.2308196360236255,0.12723493325798657,-0.1966306109359436,-0.388449780089865
Brighton and Hove,E06000043,0.04987119316119155,0.4119256816439928,0.7959192400482467,0.7111969248101924
"Bristol, City of",E06000023,0.297782593046471,0.9249745535184131,1.163176212467293,1.2027566304218245
Broadland,E07000144,-0.2301902294994753,0.12969541458683262,-0.33675372133005665,-0.36344078500553234
Bromley,E09000006,0.2577678943390678,0.8002073591150508,0.1433294102370156,0.24462498967532229
Bromsgrove,E07000234,-0.2933188212958113,-0.06883534453037657,-0.5334912429474516,-0.43262331007720195
Broxbourne,E07000095,-0.32857414077014496,-0.12857619252133592,-0.4644634755479988,-0.37640557232444377
Broxtowe,E07000172,-0.26584194585179216,0.00668877332510637,-0.28375252952148317,-0.39253222010521843
Burnley,E07000117,-0.3535343323186442,-0.21957852208173498,-0.3153759178773842,-0.42269440600375197
Bury,E08000002,-0.11035426177156608,0.2516960121789207,-0.06624293852211917,-0.1966018614842782
Caerphilly,W06000018,-0.14337036938374317,0.2120202910083905,-0.1781208282406037,-0.35196769237496583
Calderdale,E08000033,-0.03745354853852277,0.31885374097978386,0.23440770784768722,-0.1530310938199995
Cambridge,E07000008,-0.3827628633747896,-0.19954577793744652,0.17840794054153042,0.031745034581309735
Camden,E09000007,-0.3449000737661317,-0.14617885388994137,0.7765468545642437,0.5278015051211501
Cannock Chase,E07000192,-0.33246201670173725,-0.1204101904661559,-0.39611853706031047,-0.31329870211684696
Canterbury,E07000106,-0.26826959004038975,0.055113744156373316,0.09613725032738181,-0.13324291546938383
Cardiff,W06000015,0.20221550290426427,0.7127353582708412,0.9324275274870394,0.6476657700379806
Carlisle,E07000028,-0.28930896520671967,-0.05841875618717346,-0.2784814616290236,-0.3731111443535535
Carmarthenshire,W06000010,-0.1325362740271548,0.3014023647884452,-0.0047004354384738755,-0.26054038201761
Castle Point,E07000069,-0.3173117509454642,-0.11187315316482631,-0.42725042711866684,-0.48885146395364876
Central Bedfordshire,E06000056,0.1752441505175607,0.718336942406959,0.3063045534129878,0.3876362967407484
Ceredigion,W06000008,-0.4291480071986595,-0.22970632239803382,-0.21219327631917603,-0.49674162380393916
Charnwood,E07000130,-0.1602883222283659,0.253943251530486,-0.16671154129566265,-0.12169891343459627
Chelmsford,E07000070,-0.09624471047899864,0.26684335103818496,-0.1712916256986482,-0.1471683883044615
Cheltenham,E07000078,-0.32705206674957643,-0.030413775297941068,-0.18347479012781395,-0.22351166667073993
Cherwell,E07000177,-0.18148460984223455,0.09012243085078703,-0.13738692108866685,0.051800905252533336
Cheshire East,E06000049,0.3744764284087562,1.104336605224499,0.4647431480679949,0.49423095920714755
Cheshire West and Chester,E06000050,0.26173803522629363,0.9124477203547487,0.39609675514530246,0.6114088218869745
Chesterfield,E07000034,-0.32891291049616506,-0.10888198138307907,-0.35595260593557254,-0.39776743641273393
Chichester,E07000225,-0.3301538969128488,-0.025299709198059683,-0.11408525832083813,-0.20102645576361214
Chiltern,E07000005,-0.3513700757570235,1.2786498351989102,-0.5216065342085524,0.900985867315492
Chorley,E07000118,-0.29565416507684855,0.0028950662256880507,-0.3677963254565347,-0.3861831891219595
Christchurch,E07000048,-0.4313883521885822,0.9626610322389673,-0.570672323979407,0.7180035638160727
City of London,E09000001,-0.5479857351451423,-0.5560173009349344,-0.5557057042771596,-0.629336981424492
Colchester,E07000071,-0.12225087862375089,0.27243833039902043,0.39202249533856637,-0.14548794578374763
Conwy,W06000003,-0.31977779743719087,-0.010350456006085253,-0.16220425457874435,-0.32150455442638487
Copeland,E07000029,-0.38047204402381013,-0.2548328506952177,-0.4611864012885526,-0.5440824195863023
Corby,E07000150,-0.3760021097970881,0.8524889708518122,-0.46206730978914456,0.6283129420169878
Cornwall,E06000052,0.5080053107358345,1.3160784280913043,1.3461858218634013,1.1694887999393853
Cotswold,E07000079,-0.42663002785771675,-0.19095020710851668,-0.3036038001156506,-0.23374520549405925
County Durham,E06000047,0.5885817719333059,1.2199478442434541,0.9231722515556379,0.4937804427688457
Coventry,E08000026,0.11903021017842742,0.5962507089776445,0.8937340457904731,0.551155172652169
Craven,E07000163,-0.423240726288887,-0.28958519553368406,-0.45029124483136784,-0.5020802460771493
Crawley,E07000226,-0.29589369015137823,-0.16533347700859796,-0.37821106596985815,-0.187367395780389
Croydon,E09000008,0.31144486452203224,0.7015446158357254,0.7546598237330117,1.0664556842457429
Dacorum,E07000096,-0.2109123626532661,0.07284147970167905,-0.3173440933940038,-0.3246906951883356
Darlington,E06000005,-0.31177580131128685,-0.11776682669719704,-0.21508558732454852,-0.4094111542486051
